,seed,nsim,ntaxa,lambda,mu,nu,M,Y,d_0,model,ngt,ngenes,rho,q,q10,q11,q12,q2,q3,A,A1,A2,B,C,C1,C2,D0good,D0anom,D0ambi,D1good,D1anom,D1ambi,D2good,D2anom,D2ambi,D0g_ex,D0a_ex,D1g_ex,D1a_ex,D2g_ex,D2a_ex,time
84,9404,800,8,3,0.3,1.5,0.25,0.25,0.2,1,300,298.007142857143,0,56000,39881,9750,3071,2926,372,5997,3071,2926,5997,1802,210,1592,38409,20,11202,2055,0,1016,18,23,2885,49631,0,3034,37,2898,28,396.097
85,9405,800,4,0.1,0.09,0.05,0.25,0.25,6,1,300,299.25,0,800,610,80,34,74,2,108,34,74,108,7,0,7,671,0,19,34,0,0,42,0,32,690,0,34,0,74,0,50.952
86,9406,800,6,0.1,0.09,0.05,0.25,0.25,6,1,300,298.4,0,12000,8454,2054,648,780,64,1428,648,780,1428,54,2,52,10437,0,71,640,0,8,495,4,281,10508,0,648,0,777,3,137.632
87,9407,800,8,0.1,0.09,0.05,0.25,0.25,6,1,300,298.489285714286,0,56000,37810,11525,3493,2890,282,6383,3493,2890,6383,237,1,236,49135,0,200,3492,0,1,1854,6,1030,49335,0,3492,1,2890,0,424.784
88,9408,800,4,0.3,0.27,0.15,0.25,0.25,2,1,300,298.5,0,800,628,89,28,51,4,79,28,51,79,15,1,14,668,0,49,26,0,2,13,0,38,717,0,27,1,51,0,54.105
89,9409,800,6,0.3,0.27,0.15,0.25,0.25,2,1,300,298.175,0,12000,8451,1940,729,807,73,1536,729,807,1536,136,2,134,10102,0,289,717,0,12,246,3,558,10391,0,729,0,807,0,150.065
90,9410,800,8,0.3,0.27,0.15,0.25,0.25,2,1,300,298.205357142857,0,56000,37439,11916,3182,3128,335,6310,3182,3128,6310,573,42,531,48375,0,980,3092,3,87,900,5,2223,49355,0,3158,24,3124,4,419.653
91,9411,800,4,1,0.9,0.5,0.25,0.25,0.6,1,300,297.375,0,800,627,80,31,55,7,86,31,55,86,26,4,22,577,0,130,20,0,11,0,0,55,707,0,29,2,55,0,54.809
92,9412,800,6,1,0.9,0.5,0.25,0.25,0.6,1,300,297.15,0,12000,8344,2006,753,783,114,1536,753,783,1536,339,20,319,9167,5,1178,634,2,117,46,5,732,10350,0,745,8,782,1,137.211
93,9413,800,8,1,0.9,0.5,0.25,0.25,0.6,1,300,297.9,0,56000,37654,11260,3502,3192,392,6694,3502,3192,6694,1234,50,1184,45527,8,3379,3193,0,309,168,39,2985,48914,0,3488,14,3181,11,420.106
94,9414,800,4,3,2.7,1.5,0.25,0.25,0.2,1,300,298.875,0,800,633,86,33,45,3,78,33,45,78,28,5,23,460,0,259,12,1,20,0,1,44,719,0,32,1,44,1,51.894
95,9415,800,6,3,2.7,1.5,0.25,0.25,0.2,1,300,298.25,0,12000,8679,1825,617,809,70,1426,617,809,1426,484,40,444,7541,5,2958,383,3,231,5,7,797,10504,0,599,18,795,14,144.953
96,9416,800,8,3,2.7,1.5,0.25,0.25,0.2,1,300,298.403571428571,0,56000,38025,11013,3661,3003,298,6664,3661,3003,6664,1740,157,1583,37672,4,11362,2793,4,864,40,41,2922,49038,0,3644,17,2990,13,403.773
97,9417,800,4,0.1,0.01,0.05,0.5,0.25,12,1,300,297,0,800,532,99,42,119,8,161,42,119,161,5,0,5,621,0,10,40,0,2,81,0,38,631,0,41,1,118,1,52.719
98,9418,800,6,0.1,0.01,0.05,0.5,0.25,12,1,300,291.85,0,12000,6425,2044,1048,2157,326,3205,1048,2157,3205,139,13,126,8348,0,121,1023,3,22,1545,4,608,8469,0,1039,9,2149,8,140.612
99,9419,800,8,0.1,0.01,0.05,0.5,0.25,12,1,300,284.4375,0,56000,24678,13045,5023,10349,2905,15372,5023,10349,15372,637,11,626,37507,0,216,4987,4,32,7426,14,2909,37723,0,5008,15,10332,17,433.012
100,9420,800,4,0.3,0.03,0.15,0.5,0.25,4,1,300,299.25,0,800,549,83,39,127,2,166,39,127,166,22,2,20,601,0,31,35,0,4,54,0,73,632,0,37,2,127,0,53.813
101,9421,800,6,0.3,0.03,0.15,0.5,0.25,4,1,300,291.25,0,12000,6086,2371,983,2210,350,3193,983,2210,3193,306,29,277,8224,0,233,916,10,57,1029,3,1178,8457,0,961,22,2197,13,141.718
102,9422,800,8,0.3,0.03,0.15,0.5,0.25,4,1,300,285.8625,0,56000,24709,13478,4947,10227,2639,15174,4947,10227,15174,1279,73,1206,37628,0,559,4784,29,134,5035,26,5166,38187,0,4858,89,10165,62,420.699
103,9423,800,4,1,0.1,0.5,0.5,0.25,1.2,1,300,296.625,0,800,549,86,39,117,9,156,39,117,156,30,3,27,494,1,140,32,1,6,15,0,102,635,0,35,4,117,0,57.337
104,9424,800,6,1,0.1,0.5,0.5,0.25,1.2,1,300,290.15,0,12000,6387,2200,929,2090,394,3019,929,2090,3019,591,55,536,7729,7,851,766,8,155,311,7,1772,8587,0,887,42,2068,22,139.089
105,9425,800,8,1,0.1,0.5,0.5,0.25,1.2,1,300,289.108928571429,0,56000,25109,13242,5443,10173,2033,15616,5443,10173,15616,3157,173,2984,35082,6,3263,4836,26,581,1262,29,8882,38351,0,5320,123,10063,110,439.238
106,9426,800,4,3,0.3,1.5,0.5,0.25,0.4,1,300,295.875,0,800,547,76,32,134,11,166,32,134,166,70,5,65,378,0,245,15,0,17,3,0,131,623,0,29,3,131,3,52.348
107,9427,800,6,3,0.3,1.5,0.5,0.25,0.4,1,300,290.5,0,12000,6278,2275,855,2212,380,3067,855,2212,3067,1008,87,921,6261,27,2265,516,18,321,48,16,2148,8553,0,814,41,2180,32,154.438
108,9428,800,8,3,0.3,1.5,0.5,0.25,0.4,1,300,287.292857142857,0,56000,25188,13124,5042,10274,2372,15316,5042,10274,15316,4799,301,4498,29823,12,8477,3472,11,1559,160,88,10026,38312,0,4883,159,10120,154,424.744
109,9429,800,4,0.1,0.09,0.05,0.5,0.25,12,1,300,296.625,0,800,509,81,46,155,9,201,46,155,201,13,0,13,579,0,11,43,0,3,102,0,53,590,0,46,0,155,0,53.219
110,9430,800,6,0.1,0.09,0.05,0.5,0.25,12,1,300,289.7,0,12000,5485,2649,1246,2208,412,3454,1246,2208,3454,186,15,171,8057,0,77,1222,8,16,1527,2,679,8134,0,1233,13,2200,8,160.77
111,9431,800,8,0.1,0.09,0.05,0.5,0.25,12,1,300,280.291071428571,0,56000,20225,14323,7330,10443,3679,17773,7330,10443,17773,833,24,809,34200,18,330,7257,5,68,7049,3,3391,34548,0,7312,18,10408,35,544.439
112,9432,800,4,0.3,0.27,0.15,0.5,0.25,4,1,300,295.5,0,800,490,98,61,139,12,200,61,139,200,24,3,21,545,0,43,55,1,5,55,0,84,588,0,57,4,138,1,54.873
113,9433,800,6,0.3,0.27,0.15,0.5,0.25,4,1,300,288.2,0,12000,5535,2616,1121,2256,472,3377,1121,2256,3377,367,27,340,7865,1,285,1069,13,39,992,10,1254,8151,0,1096,25,2229,27,159.923
114,9434,800,8,0.3,0.27,0.15,0.5,0.25,4,1,300,281.694642857143,0,56000,19444,15175,6791,11173,3417,17964,6791,11173,17964,1701,75,1626,33888,3,728,6583,13,195,5135,19,6019,34619,0,6727,64,11082,91,592.542
115,9435,800,4,1,0.9,0.5,0.5,0.25,1.2,1,300,295.125,0,800,482,118,40,147,13,187,40,147,187,46,4,42,453,1,146,31,0,9,21,0,126,600,0,37,3,147,0,54
116,9436,800,6,1,0.9,0.5,0.5,0.25,1.2,1,300,288.2,0,12000,5439,2648,1024,2417,472,3441,1024,2417,3441,790,51,739,6906,1,1180,883,8,133,244,8,2165,8087,0,985,39,2378,39,151.351
117,9437,800,8,1,0.9,0.5,0.5,0.25,1.2,1,300,281.705357142857,0,56000,21104,14463,6537,10481,3415,17018,6537,10481,17018,3223,163,3060,33305,5,2257,6001,17,519,1266,37,9178,35567,0,6397,140,10365,116,561.115
118,9438,800,4,3,2.7,1.5,0.5,0.25,0.4,1,300,295.875,0,800,488,108,49,144,11,193,49,144,193,68,12,56,350,0,246,17,0,32,5,0,139,596,0,45,4,142,2,52.032
119,9439,800,6,3,2.7,1.5,0.5,0.25,0.4,1,300,289.575,0,12000,5568,2561,1045,2409,417,3454,1045,2409,3454,1167,88,1079,5350,40,2739,662,6,377,32,26,2351,8129,0,998,47,2361,48,159.686
120,9440,800,8,3,2.7,1.5,0.5,0.25,0.4,1,300,283.483928571429,0,56000,21122,14692,6912,10191,3083,17103,6912,10191,17103,5287,372,4915,27912,34,7868,5105,14,1793,151,116,9924,35814,0,6770,142,9986,205,533.507
121,9441,800,4,0.1,0.01,0.05,0.25,0.25,12,1,300,295.875,0,800,515,118,58,98,11,156,58,98,156,4,0,4,622,0,11,58,0,0,68,0,30,633,0,58,0,98,0,46.919
122,9442,800,6,0.1,0.01,0.05,0.25,0.25,12,1,300,294.075,0,12000,6506,2652,1039,1566,237,2605,1039,1566,2605,117,1,116,9069,0,89,1030,0,9,1053,1,512,9158,0,1039,0,1562,4,151.993
123,9443,800,8,0.1,0.01,0.05,0.25,0.25,12,1,300,288.080357142857,0,56000,24875,14697,6020,8183,2225,14203,6020,8183,14203,529,32,497,39297,0,275,5955,14,51,5934,1,2248,39572,0,5987,33,8165,18,449.779
124,9444,800,4,0.3,0.03,0.15,0.25,0.25,4,1,300,296.625,0,800,533,101,53,104,9,157,53,104,157,22,4,18,596,0,38,48,4,1,49,0,55,634,0,48,5,104,0,52.05
125,9445,800,6,0.3,0.03,0.15,0.25,0.25,4,1,300,292.125,0,12000,6198,2628,926,1933,315,2859,926,1933,2859,283,17,266,8566,0,260,876,3,47,820,1,1112,8826,0,914,12,1927,6,139.204
126,9446,800,8,0.3,0.03,0.15,0.25,0.25,4,1,300,286.317857142857,0,56000,24705,14539,5918,8284,2554,14202,5918,8284,14202,1054,13,1041,38405,5,834,5840,4,74,3851,18,4415,39244,0,5912,6,8190,94,439.267
127,9447,800,4,1,0.1,0.5,0.25,0.25,1.2,1,300,296.625,0,800,561,93,44,93,9,137,44,93,137,25,0,25,542,2,110,36,0,8,9,0,84,654,0,44,0,93,0,48.107
128,9448,800,6,1,0.1,0.5,0.25,0.25,1.2,1,300,292.15,0,12000,6315,2684,988,1699,314,2687,988,1699,2687,562,34,528,8128,1,870,865,4,119,223,4,1472,8999,0,952,36,1683,16,144.039
129,9449,800,8,1,0.1,0.5,0.25,0.25,1.2,1,300,286.848214285714,0,56000,24633,14904,5949,8059,2455,14008,5949,8059,14008,2416,114,2302,37038,19,2480,5521,10,418,968,14,7077,39537,0,5871,78,7945,114,442.475
130,9450,800,4,3,0.3,1.5,0.25,0.25,0.4,1,300,296.25,0,800,538,111,49,92,10,141,49,92,141,55,9,46,408,1,240,25,0,24,1,0,91,649,0,48,1,92,0,42.172
131,9451,800,6,3,0.3,1.5,0.25,0.25,0.4,1,300,289.375,0,12000,6111,2610,1092,1762,425,2854,1092,1762,2854,888,63,825,6775,7,1939,792,0,300,32,5,1725,8721,0,1064,28,1725,37,110.638
132,9452,800,8,3,0.3,1.5,0.25,0.25,0.4,1,300,287.367857142857,0,56000,25698,14105,5839,8000,2358,13839,5839,8000,13839,4124,377,3747,32030,27,7746,4095,9,1735,130,50,7820,39803,0,5724,115,7921,79,433.727
133,9453,800,4,0.1,0.09,0.05,0.25,0.25,12,1,300,295.125,0,800,516,119,48,104,13,152,48,104,152,8,0,8,619,0,16,48,0,0,71,0,33,635,0,48,0,104,0,43.035
